Question Type,Question,Answer,Context,PDF Name
Factual,What type of fire alarm control panel exists in the building according to the specifications?,"The existing Fire Alarm Control Panel is Simplex 40008, as specified in Section 283111 - Digital, Addressable Fire-Alarm System.",N/A,Wendel
Reasoning,Why would certain cables need to be replaced during the computer/telephone network installation?,"Cables exceeding 97 meters (318 feet) must be replaced and re-routed to reduce length, as excessive length can negatively impact network performance.",N/A,Wendel
Quantitative,What is the minimum compressive strength required for concrete paving after 28 days?, The specifications require a minimum compressive strength of 4000 psi for concrete paving after 28 days of curing.,N/A,Wendel
Factual,What type of warranty is required for all installed network cable?, The specifications require a minimum 15-year warranty for all installed cable as stated in the maintenance service section.,N/A,Wendel
Factual,What finishing technique is specified for concrete sidewalks?,"Concrete sidewalks require a medium-to-fine-textured broom finish, drawn perpendicular to traffic flow to provide a uniform, fine-line texture.",N/A,Wendel
Reasoning,Why are color identifiers required for the non-continuous cable support system?,"Color identifiers are required to segregate different system cables, with different colors (red, green, yellow, blue) indicating different systems for better organization and maintenance.",N/A,Wendel
Reasoning,Why must certain clearances be maintained between power sources and communication cables?,Specific clearances between power sources and communications cables prevent electromagnetic interference (EMI) that could degrade network performance or cause data corruption.,N/A,Wendel
Reasoning,Why is it required to seal piping interiors at specific locations?,Sealing piping interiors is required where conduits pass from warm to cold locations or enter buildings to prevent condensation that could damage equipment or cause electrical hazards.,N/A,Wendel
Quantitative,What is the required GFCI receptacle trip indicator testing frequency?,GFCI receptacles must self-test every two minutes to verify proper functionality of the trip indicator light.,N/A,Wendel
Quantitative,What is the required air content for concrete paving mix?,The air content for concrete paving must be 5-1/2 percent plus or minus 1-1/2 percent for 1-1/2-inch nominal maximum aggregate size.,N/A,Wendel
Quantitative,What minimum thermal conductivity is specified for flexible elastomeric noise reducing duct liner?,The flexible elastomeric noise reducing duct liner must have a minimum thermal conductivity of 0.25 BTU-in/h-ft^2-F.,N/A,Wendel
Factual,What material is specified for the chain link fence fabric in the project?,The chain link fence fabric is specified as polymer-coated steel wire with a 2-inch mesh size and 9-gauge wire thickness.,N/A,Wendel
Factual,What type of motors are specified for use with variable frequency drives?,Motors for use with variable frequency drives must have shaft grounding rings consisting of conductive microfibers and a grounding path.,N/A,Wendel
Factual,What equipment is the Owner responsible for providing?,"The Owner is responsible for providing network switches, telephone head end equipment, patch panels, and desk telephones.",N/A,Wendel
Reasoning,Why must all HVAC ducts be sealed to Class A specifications?,"All ductwork must be sealed to Class A specifications to minimize air leakage, ensuring system efficiency, preventing energy waste, and maintaining proper air distribution.",N/A,Wendel
Reasoning,Why are different wire colors required for different voltage systems?,"Different wire colors are required for different voltage systems (208/120V vs 480/277V) to ensure proper identification, prevent cross-connection errors, and improve safety during maintenance.",N/A,Wendel
Reasoning,Why are expansion fittings required in certain raceway installations?,"Expansion fittings are required to accommodate thermal expansion and contraction in long conduit runs, preventing damage to conduits and connections during temperature changes.",N/A,Wendel
Quantitative,What is the required sound transmission rating for flexible elastomeric noise reducing duct liner?, The flexible elastomeric noise reducing duct liner must have a sound transmission rating of 25.,N/A,Wendel
Quantitative,What is the required elevation tolerance for concrete paving?,"The elevation tolerance for concrete paving is Â½ inch, as specified in the paving tolerances section.",N/A,Wendel
Quantitative,What is the minimum service factor required for polyphase motors?,"Polyphase motors must have a minimum service factor of 1.15, as specified in the motor requirements.",N/A,Wendel
Factual,What is the maximum support spacing for horizontal sanitary drainage piping with NPS 3 or smaller?,Horizontal sanitary drainage piping NPS 3 and smaller requires 2 percent downward slope in the direction of flow.,N/A,Wendel
Factual,What should be done with ceiling diffusers after final testing and balancing?,Air patterns of ceiling diffusers should be adjusted for proper distribution without drafts.,N/A,Wendel
Factual,What type of termination is required for hot water piping?,Hot water piping requires threaded ends or solder-joint ends for copper tubing with NPS 2 or smaller.,N/A,Wendel
Reasoning,Why must air-handling units be properly sealed against moisture?,Air-handling units must be sealed to prevent moisture intrusion that could lead to mold growth and reduced IAQ.,N/A,Wendel
Reasoning,Why are detectable warning surfaces required at certain pedestrian pathway locations?,Detectable warning surfaces provide tactile cues for visually impaired pedestrians to identify transition points between pedestrian and vehicular areas.,N/A,Wendel
Reasoning,Why must non-raceway cables be secured above ceiling cavities?,"Cables must be secured to building structure to prevent sagging onto ceiling grid, maintain proper separation, and ensure accessibility.",N/A,Wendel
Quantitative,What is the minimum pipe size required for domestic water service?, The minimum raceway size for domestic water piping is 3/4-inch trade size.,N/A,Wendel
Quantitative,What is the minimum size of pull and junction boxes for electrical systems?,"For electrical systems, pull and junction boxes must follow NEMA OS 1 specifications for small sheet metal boxes.",N/A,Wendel
Quantitative,What is the maximum operating temperature for the flexible elastomeric duct liner?,Flexible elastomeric duct liner has a maximum operating temperature of 180Â°F.,N/A,Wendel
Factual,What type of testing is required for the fire alarm system after installation?,The fire alarm system requires reacceptance testing to verify proper operation of added or replaced devices and appliances.,N/A,Wendel
Factual,What finish is required for interior lighting fixture trim?, Interior lighting fixture trim requires powder coat finish with color selected by the Architect.,N/A,Wendel
Factual,What type of insulation is specified for domestic hot water piping?,Domestic hot water piping requires mineral fiber insulation 1 inch thick with ASJ jacket.,N/A,Wendel
Reasoning,Why are electronically commutated motors specified for certain applications?,"ECMs provide variable speed control, higher efficiency, and reduced energy consumption compared to standard motors.",N/A,Wendel
Reasoning,Why are protective shielding pipe covers required for certain plumbing fixtures?,Protective pipe covers prevent contact burns from hot pipes and comply with ADA requirements for accessible fixtures.,N/A,Wendel
Reasoning,Why must expansion joints be installed in concrete paving?,Expansion joints accommodate thermal expansion and contraction to prevent concrete cracking and surface displacement.,N/A,Wendel
Quantitative,"What is the required minimum nominal full-load efficiency for 5HP, 4-pole NEMA Design B motors?","5HP, 4-pole NEMA Design B motors require 89.5% minimum nominal full-load efficiency.",N/A,Wendel
Quantitative,What is the maximum ambient noise rating for air devices in decibels?,Interior ceiling diffusers must maintain NC rating of 30 or less at design airflow.,N/A,Wendel
Quantitative,What is the required temperature range for tempered water at lavatories?,Tempered water at lavatories must be set to 105Â°F.,N/A,Wendel
Factual,What type of surface finish is required for concrete sidewalks?, Concrete sidewalks require medium-to-fine-textured broom finish perpendicular to traffic flow.,N/A,Wendel
Factual,What conduit type is specified for outdoor exposed applications?,GRC (Galvanized Rigid Steel Conduit) is required for exposed outdoor conduit applications.,N/A,Wendel
Factual,What is the specified color for fire alarm device wiring?,Fire alarm cable shall be red in color.,N/A,Wendel
Reasoning,Why must manual volume dampers have locking quadrants?,"Locking quadrants prevent inadvertent adjustment after balancing, maintaining proper system airflow.",N/A,Wendel
Reasoning,Why is firestopping required at penetrations through fire-rated assemblies?,"Firestopping maintains the fire-resistance rating of assemblies, preventing fire and smoke spread between compartments.",N/A,Wendel
Reasoning,Why are identification labels required on all electrical equipment?,"Labels ensure proper identification for operation, maintenance, emergency response, and code compliance.",N/A,Wendel
Quantitative,What is the minimum thickness of sheet metal for rectangular duct fabrication?,"Sheet metal thickness must comply with SMACNA ""HVAC Duct Construction Standards"" based on pressure class.",N/A,Wendel
Quantitative,What is the minimum height of concrete curbs for roof-mounted equipment?,Roof curbs for equipment must be 18 inches high.,N/A,Wendel
Quantitative,What is the required clearance between ducts and adjacent surfaces?,"Ducts must be installed with a minimum clearance of 1 inch, plus allowance for insulation thickness.",N/A,Wendel
Reasoning,Why must smoke detectors be kept covered during construction?,"Covering smoke detectors during construction prevents false alarms and protects devices from dust, debris, and damage.",N/A,Wendel
Reasoning,Why is load balancing required for electrical panelboards?,"Load balancing prevents circuit overloading, reduces voltage drop, and ensures efficient electrical distribution across all phases.",N/A,Wendel
Reasoning,Why are penetration firestop systems tested at positive pressure?,Testing at positive pressure simulates real-world fire conditions where heated gases create pressure differentials that can push flames through openings.,N/A,Wendel
Factual, What color are emergency exit signs specified to be?,"Exit signs must be illuminated with LEDs with a minimum 70,000-hour rated lamp life.",N/A,Wendel
Quantitative,What is the maximum wire fill capacity for the non-continuous cable support system?,The non-continuous cable support system has a fill capacity of 100 Cat 6 cables.,N/A,Wendel
Quantitative, What is the minimum overlap required for vapor retarder materials?, Vapor retarders should overlap a minimum of two inches at all seams and be sealed with pressure-sensitive tape.,N/A,Wendel
Reasoning,Why must mechanical equipment be suspended with vibration isolation devices?,"Vibration isolation prevents transmission of mechanical vibrations to building structure, reducing noise and potential structural damage.",N/A,Wendel
Factual,What type of joint sealant is required for toilet room applications?,Mildew-resistant silicone sealant is required for toilet rooms and other high-humidity areas.,N/A,Wendel
Quantitative,What is the minimum rated light output for weatherproof visible notification appliances?, Weatherproof visible notification appliances must have a minimum rated light output of 110 cd.,N/A,Wendel
Quantitative,What is the maximum allowable compression for fiberglass blanket insulation?, Fiberglass blanket insulation has a maximum allowable compression of 25%.,N/A,Wendel
Quantitative,What is the specified minimum compressive strength for hydraulic-cement grout?,"Hydraulic-cement grout must have a minimum design mix of 5000-psi, 28-day compressive strength.",N/A,Wendel
Quantitative,What is the maximum permissible discrepancy between phase loads in a panelboard?,The maximum permissible difference between phase loads within a panelboard is 20 percent.,N/A,Wendel
Quantitative,What is the required tensile strength for polypropylene pull wires in empty raceways?, Pull wires in empty raceways must have a minimum tensile strength of 200 pounds.,N/A,Wendel
Reasoning,Is a Flame Spread Rating of 45 allowed for acoustical panel ceiling?,No the rating must be 25 or less as per ASTM E84.,Acoustical Panel Ceiling,Wendel
Reasoning,What is to be done if we cannot install hanger wires that support the acoustical ceiling panels at the required spacing?,Install carrying channels or other supplemental support for attachment of hanger wires,Acoustical Panel Ceiling,Wendel
Reasoning,Can we install flooring over concrete slabs while they are still curing and wet?,No you cannot install flooring over concrete slabs while they are still wet. Concrete slabs must be cured and sufficiently dry to bond with the adhesive.,Resilient Flooring And Accessories,Wendel
Factual,What should be the Acrylic Sheet thickness for Inerior Panel Signs?,0.080 inch thick,Room Identification Signage,Wendel
Factual,What are the material specifications for Fire Protection Cabinets?,"Material should be Stainless Steel Sheet: ASTM A 666, Type 304.",Fire Protection Cabinets,Wendel
Factual,What dimensions are allowed for selection of Refrigerator/Freezer?,"The Refrigerator should be 32 inches wide, 37 inches deep, and 70 inches in height.",APPLIANCES,Wendel
Factual,At what distances are supports to be installed for vertical copper tubing used for domestic water piping?,Supports for vertical copper piping are to be installed every 10 feet for vertical copper tubing used in domestic water piping.,DOMESTIC WATER PIPING,Wendel
Quantitative,Can I reduce my hanger rod diameter from 1 inch to 1/2 inch?,Yes your rod diameter can be reduced to 1/2 inch.,DOMESTIC WATER PIPING,Wendel
Quantitative,"What is the ideal tempered water setting, for domestic water pipelines?",The ideal tempered water setting should be at 105 deg F.,DOMESTIC WATER PIPING SPECIALITIES,Wendel
Quantitative,Can I use a Ball-valve or a drain valve with a pressure rating of 200-psig minimum CWP?,No the Ball-valve or the drain valve must be pressure rated to atleast 400-psig minimum CWP.,DOMESTIC WATER PIPING SPECIALITIES,Wendel
Factual,What AIA document does the Architect use to authorize minor changes in the Work that do not involve adjustments to the Contract Sum or the Contract Time?,"The Architect will issue supplemental instructions authorizing minor changes in the Work on AIA Document G710, ""Architect's Supplemental Instructions",SECTION 012600 - CONTRACT MODIFICATION PROCEDURES,Wendel
Factual,What is the maximum activity duration for scheduling a contractor's construction schedule?,20 days unless specifically allowed by Architect,CONSTRUCTION PROGRESS DOCUMENTATION ,Wendel
Factual,When is the Gantt-chart schedule expected to be submitted?,Within 5 days of date established for Notice to Proceed.,CONSTRUCTION PROGRESS DOCUMENTATION ,Wendel
Reasoning,Is an exact count of personnel on Project Site needed in the Daily Construction Reports?,"No, an approximate count of personnel is needed at Project Site.",CONSTRUCTION PROGRESS DOCUMENTATION ,Wendel
Reasoning,"Is ""Material stored prior to previous report and remaining in storage"" a category in the Site Condition Reports?",No it is a category in the Material Location Reports.,CONSTRUCTION PROGRESS DOCUMENTATION ,Wendel
Reasoning,Do we need to submit the Unusual Event Reports to just the owner?,"No we submit the Unusual Event Report to the Owner, and distribute copies to the parties affected by the occurrence.",CONSTRUCTION PROGRESS DOCUMENTATION ,Wendel
Factual,What is the timeline for submission of the Unusual Event Report to the Owner?,Within 1 day of occurrence of the event.,CONSTRUCTION PROGRESS DOCUMENTATION ,Wendel
Reasoning,True or False - An Installer must be a firm with appropriate qualifications.,False it can be a firm or an individual.,QUALITY REQUIREMENTS - 014000 - 5,Wendel
Factual,What is the minimum notice period before which a Contractor must inform testing agencies in advance of the testing or inspection to be performed?,24 hours,QUALITY REQUIREMENTS - 014000 - 6,Wendel
Reasoning,"True or False - The program of Special Inspection and Structural Testing is a Quality Assurance program
intended to ensure that the work is performed in accordance with the Contract Documents.",TRUE,SPECIAL INSPECTIONS - 014100 - 1,Wendel
Factual,For special inspections and structural testing who determines the locations for taking sample specimens?,The architect determines the locations for taking sample specimens,SPECIAL INSPECTIONS - 014100 - 2,Wendel
Factual,For special inspections and structural testing who approves the testing laboratory and individual technicians?,The Sructural Engineer of Record(SER) and the Building Official approval is needed.,SPECIAL INSPECTIONS - 014100 - 2,Wendel
Factual,Who shall be responsible for the travel expenses of the Special Inspector and Testing Laboratory in case materials for Special Instructions are not within a 100 mile radius of the project?,The contractor shall be responsible.,SPECIAL INSPECTIONS - 014100 - 3,Wendel
Factual,What is the timeline for the Testing Laboratory to communicate any discrepancy or failing tests to the SER and the Building Official?,This type of communication should be immediate.,SPECIAL INSPECTIONS - 014100 - 4,Wendel
Factual,"What is the definition of ""Furnish"" in the context of the construction contract?","Supply and deliver to Project site, ready for unloading, unpacking, assembly, installation, and similar operations.",REFERENCES - 014200 - 1,Wendel
Quantitative,What is the minimum thickness for Polyethylene Sheet used in Temporary Facilities and Controls?,The minimum thickness is 10-mil.,TEMPORARY FACILITIES AND CONTROLS - 015000 - 3,Wendel
Factual,Are gasoline powered space heaters allowed for use as Temporary Facility?,No it is not allowed.,TEMPORARY FACILITIES AND CONTROLS - 015000 - 3,Wendel
Reasoning,As a part of Temporary Facilities and Controls is it required to provide temporary parking areas for construction personnel?,Yes it is required to provide temporary parking areas for construction personnel.,TEMPORARY FACILITIES AND CONTROLS - 015000 - 6,Wendel
Reasoning,During construction while temporary facilities and controls are in place is smoking allowed in construction areas?,No smoking is prohibited in construction areas.,TEMPORARY FACILITIES AND CONTROLS - 015000 - 7,Wendel
Reasoning,Are hygroscopic materials like wood or gypsum considered defective if they remain wet for upto 24 hours?,No they are considered defective if they remain wet for 48 hours or more.,TEMPORARY FACILITIES AND CONTROLS - 015000 - 8,Wendel
Factual,What is the minimum time duration to determine if any wet hygroscopic material is to be considered defective?,The minimum time duration is 48 hours,TEMPORARY FACILITIES AND CONTROLS - 015000 - 8,Wendel
Reasoning,How to determine if any materials that have become wet need to be discarded?,"Measure moisture content daily for upto 48 hours from the time of exposure, identify moisture levels higher than allowed, and remove materials that cannot be restored to their manufactured moisture level within 48 hours.",TEMPORARY FACILITIES AND CONTROLS - 015000 - 8,Wendel
Factual,What is the maintenance frequency of the Temporary Facilities?,Maintenance needs to be performed on a 24 hour basis wherever deemed necessary.,TEMPORARY FACILITIES AND CONTROLS - 015000 - 9,Wendel
Reasoning,When can we change over from using Temporary Facility to permanent facility?,We can change over from using Temporary Facility to Permanent Facility upon Substantial Completion.,TEMPORARY FACILITIES AND CONTROLS - 015000 - 9,Wendel
Factual,Who owns the material and facilities that constitute the temporary facilities?,Materials and facilities that constitute temporary facilities are property of Contractor.,TEMPORARY FACILITIES AND CONTROLS - 015000 - 9,Wendel
Factual,Who reserves the right to limit selection to products with warranties not in conflict with requirements of the Contract Documents?,The owner  reserves the right to limit selection to products with warranties not in conflict with requirements of the Contract Documents.,PRODUCT REQUIREMENTS - 016000 - 4,Wendel
Factual,Which products are to be selected by the Architect specifically?,"The products that are accompanied by the term ""as selected,"" will be selected by the Architect.",PRODUCT REQUIREMENTS - 016000 - 4,Wendel
Reasoning,For product selection from a Restricted Products List can the contractor provide a product which matches the specification but is not in the list?,No the product must be from the provided Restricted Product List.,PRODUCT REQUIREMENTS - 016000 - 4,Wendel
Reasoning,For product selection from a Unrestricted Products List can the contractor provide a product which matches the specification but is not in the list?,Yes the product can be from the list or an unnamed product that complies with the requirements,PRODUCT REQUIREMENTS - 016000 - 4,Wendel
Reasoning,For manufacturer selection from a Restricted Manufacturers' List can the contractor provide a product from an unnamed manufacturer not from the list?,No the product must be from a manufacturer from the provided Restricted Manufacturer List.,PRODUCT REQUIREMENTS - 016000 - 4,Wendel
Reasoning,For manufacturer selection from a Unrestricted Manufacturers' List can the contractor provide a product from an unnamed manufacturer not from the list?,Yes the product can be from the list of manufacturers or from an unnamed manufacturer that complies with the requirements,PRODUCT REQUIREMENTS - 016000 - 4,Wendel
Reasoning,Can the architect consider the Contractor's request for a comparable product if it does not provide specified warranty?,"No, it must provide the specified warranty.",PRODUCT REQUIREMENTS - 016000 - 5,Wendel
Reasoning,Can the architect consider the Contractor's request for a comparable product if it requires revision to the Contract Documents?,"No, it must not require revision to the Contract Documents.",PRODUCT REQUIREMENTS - 016000 - 5,Wendel
Factual,"What is the definition of ""Cutting"" in context of execution of construction procedures in the contract?","Removal of in-place construction necessary to permit installation or performance of
other work.",EXECUTION - 017300 - 1,Wendel
Factual,"What is the definition of ""Patching"" in context of execution of construction procedures in the contract?","Fitting and repair work required to restore construction to original conditions after
installation of other work.",EXECUTION - 017300 - 1,Wendel
Reasoning,What is the timeline for the submitting the Cutting and Patching plan?,It should be submitted atleast 10 days prior to the time cutting and patching will be performed.,EXECUTION - 017300 - 1,Wendel
Factual,Should the Patching plan include the list of products that will be used to perform the patching work?,Yes the list of products used for performing patching must be included.,EXECUTION - 017300 - 1,Wendel
Factual,Does the Architect need to be involved before proceeding with cutting and patching of structural elements?,Yes the Architect must be notified. Only proceed forward after receiving directions from the Architect.,EXECUTION - 017300 - 2,Wendel
Factual,Is visible evidence of cutting and patching after the completion of the procedure acceptable?,No it is not acceptable. The respective construction must be replaced,EXECUTION - 017300 - 2,Wendel
Reasoning,Is it required to bypass existing utility services before cutting and patching is performed?,Yes it is required to bypass existing utility services beforehand to minimize interruptions.,EXECUTION - 017300 - 5,Wendel
Reasoning,What needs to be protected while performing cutting and patching?,In-place construction and portions of project that might be exposed during cutting and patching must be protected.,EXECUTION - 017300 - 5,Wendel
Factual,What tools can be used to perform cutting on Concrete and Masonry?,Cutting machine such as an abrasive saw or a diamond core drill.,EXECUTION - 017300 - 5,Wendel
Factual,For how long can waste materials be held under normal weather conditions?,Seven days.,EXECUTION - 017300 - 6,Wendel
Factual,How frequently are the public roads expected to be cleaned?,On a daily basis or as directed by the owner.,EXECUTION - 017300 - 7,Wendel
Factual,What is the definition of demolition waste?,"Building and site improvement materials resulting from demolition or
selective demolition operations.",CONSTRUCTION WASTE MANAGEMENT AND DISPOSAL - 017419 - 1,Wendel
Factual,Does the waste management plan include location of the containers?,Yes the waste management plan must include location of the containers,CONSTRUCTION WASTE MANAGEMENT AND DISPOSAL - 017419 - 2,Wendel
Factual,What type of detectable warning tiles are specified for concrete paving?,Cast-in-place detectable warning tiles made of molded glass and carbon-fiber-reinforced polyester.,DETECTABLE WARNING MATERIALS,Wendel
Reasoning,Why must Category 6 cables exceeding 97 meters be replaced during installation?," Because they exceed the maximum recommended length for proper network performance, potentially causing signal degradation.",SYSTEM DESCRIPTION,Wendel
Quantitative,What is the required compressive strength of concrete for paving after 28 days?,4000 psi with a maximum water-to-cementitious materials ratio of 0.40.,CONCRETE MIXTURES,Wendel
Factual,What color are the specified chain-link fence materials required to be?,"Black, according to ASTM F934.",CHAIN-LINK FENCE FABRIC,Wendel
Reasoning, Why must fire alarm system wiring be encased in EMT above inaccessible ceilings?,To provide physical protection and meet fire code requirements for concealed spaces.,PATHWAYS,Wendel
Quantitative,What is the minimum separation distance between electrical power source (<2kVA) and open pathways?,6 inches.,INSTALLATION,Wendel
Factual,What type of concrete finishing is specified for exterior walkways?,"Medium-to-Fine-Textured Broom Finish, perpendicular to traffic flow.",FLOAT FINISHING,Wendel
Quantitative,What is the maximum allowable thickness variation for concrete paving?,"Plus 3/8 inch, minus 1/4 inch.",PAVING TOLERANCES,Wendel
Reasoning,Why must concrete paving joints be formed with faces perpendicular to surface plane?,To ensure structural integrity and proper load transfer across the joint.,JOINTS,Wendel
Factual,What type of privacy slats are specified for the chain link fence?," Fiber-glass-reinforced plastic slats, UV-light-stabilized, not less than 0.06 inch thick.",PRIVACY SLATS,Wendel
Factual,What foundation method is specified for chain-link fence posts?,Set in concrete pad with holes not less than 5 inches deep.,CHAIN-LINK FENCE INSTALLATION,Wendel
Quantitative,What is the required air content for exterior concrete paving?,5-1/2 percent plus or minus 1-1/2 percent.,CONCRETE MIXTURES,Wendel
Reasoning,Why are detectable warning tiles required at certain concrete walking surfaces?,To provide tactile warning for accessibility compliance with ADA-ABA guidelines.,DETECTABLE WARNING MATERIALS,Wendel
Quantitative,What is the dimension of a rectangular detectable warning panel?,24 by 36 inches.,DETECTABLE WARNING MATERIALS,Wendel
Reasoning,Why must concrete be protected during the curing process?,To prevent premature drying and damage from extreme temperatures.,CONCRETE PROTECTION AND CURING,Wendel
Reasoning, Why are firestopping materials required at penetrations of fire-rated assemblies?,To maintain the fire-resistance rating of the assembly and prevent fire spread.,FIRESTOPPING,Wendel
Factual,What testing agency shall review the fire alarm system installation?,Authorities having jurisdiction must witness field tests.,FIELD QUALITY CONTROL,Wendel
Quantitative,How many inches of slack must be provided for network cables?,6 inches at station termination and 24 inches at patch panels.,INSTALLATION,Wendel
Quantitative,What is the required thermal conductivity of duct liner?, 0.25 BTU-in/h-ft^2-F.,DUCT LINER,Wendel
Reasoning,Why must concrete paving surfaces be floated before broom finishing?,"To create a uniform, flat surface before applying texture for slip resistance.",FLOAT FINISHING,Wendel
Factual,What fire rating is specified for the fire dampers?,1-1/2 hours.,FIRE DAMPERS,Wendel
Quantitative,What is the dimension of chain-link fence mesh openings?,2 inches.,CHAIN-LINK FENCE FABRIC,Wendel
Reasoning,Why are open top non-continuous cable supports required for network cabling?,To properly support cables without causing deformation while maintaining accessibility.,NON-CONTINUOUS CABLE SUPPORTS,Wendel
Factual,What connection method is specified for flexible ducts to metal ducts?,"Stainless steel band clamps, adhesive, and sheet metal screws.",INSTALLATION,Wendel
Factual,What color must modular jacks be for network cabling?,"Color that matches the cable color, to be verified with Architect.",COMPONENTS,Wendel
Reasoning,Why is a 15-year warranty required for installed network cable?,To ensure long-term reliability of the infrastructure investment.,MAINTENANCE AND WARRANTY,Wendel
Quantitative,What is the maximum expansion joint spacing in concrete paving?, 20 feet unless otherwise indicated.,JOINTS,Wendel
Quantitative,What is the maximum allowed concrete slump?,"4 inches, plus or minus 1 inch.",CONCRETE MIXTURES,Wendel
Factual,What type of optical fiber cable is specified in the project?," Multi-mode fiber optic laser optimized OM4, indoor/outdoor rated with 50/125um core/cladding.",COMPONENTS,Wendel
Reasoning,Why must digital alarm communicator transmitter have dual communication methods?,To provide redundancy if primary communication method fails.,DIGITAL ALARM COMMUNICATOR,Wendel
Quantitative,What is the minimum compaction required for subbase before concrete placement?,90% compaction with vibratory plate.,PREPARATION,Wendel
